epoch,score,n_estimators,max_depth,max_features
88,0.3438630529870173,300,81,0.7469853840894296
38,0.3438630529870173,300,92,0.7145599899233108
23,0.3438630529870173,300,62,0.7179108269522377
21,0.3438630529870173,300,88,0.7460806190932846
20,0.34386305298701736,300,79,0.7450169917111678
40,0.3439625813139444,300,89,0.807538451561936
11,0.3439625813139444,300,72,0.8208909735521321
25,0.34396258131394447,300,88,0.7675675909314588
45,0.3442861990603253,300,54,0.678249921444208
6,0.3442861990603253,300,65,0.6630320049487006
7,0.3442861990603253,300,47,0.6832352876501899
17,0.34435757940084855,300,18,0.8068146686795766
19,0.34437813051035343,300,20,0.8576935240343377
24,0.34441063138519723,300,31,0.8361783004356864
22,0.34453008926914463,300,69,0.8569282279484387
0,0.34453008926914463,300,67,0.8430482456129522
4,0.34453008926914463,300,53,0.86728864301992
74,0.3445300892691447,300,95,0.8714175391041331
26,0.34455261653374786,300,18,0.8292765519524397
48,0.34456832673835813,300,37,0.833114320710231
59,0.3447794948983906,300,92,0.6387057330616225
62,0.3447794948983906,300,59,0.6164922216539584
76,0.3447794948983906,300,59,0.6275688559973795
31,0.3447794948983906,300,80,0.6359441674015585
28,0.3447794948983906,300,74,0.641316064930504
5,0.3447794948983906,300,74,0.615725383526729
43,0.3448113707154497,300,19,0.8822751688678403
61,0.34524767075957696,300,24,0.5981406203300158
81,0.34536037651054396,300,36,0.9174531142803103
8,0.34539564899648395,300,51,0.9240133370822664
77,0.34539564899648395,300,47,0.9330517171685834
54,0.34539564899648395,300,49,0.9243399661321342
56,0.34539564899648395,300,90,0.9183908400785731
51,0.3455173906579152,300,23,0.6343995869305068
34,0.3464831399756788,300,17,0.9153374112726224
70,0.3468070634399376,300,48,0.9951243084254895
85,0.3468197823114626,300,36,0.9888560175754649
46,0.3473572165402983,300,30,0.5550563556188426
44,0.34759874989017703,300,62,0.5354154569345843
39,0.34759874989017703,300,88,0.543999716204478
3,0.34759874989017703,300,60,0.5776406433459806
57,0.34759874989017703,300,81,0.5369198198813429
75,0.34759874989017703,300,99,0.54788904247836
55,0.34762980455667536,300,35,0.5874484756695214
16,0.3479231277432965,300,16,0.96248033513935
82,0.34843972215793423,300,14,0.721231054546929
66,0.3488123815044567,300,17,0.5392429534820731
90,0.35101667623565347,300,80,0.4754122094193738
68,0.35101667623565347,300,47,0.481671396229413
12,0.35101667623565347,300,68,0.48504503373208097
37,0.35101667623565347,300,60,0.5030042110495369
18,0.3510174457019915,300,39,0.5120619645725041
99,0.3510676985719539,300,20,0.5018694479905013
32,0.3510676985719539,300,20,0.48874563094374135
1,0.35204038680131516,300,23,0.47251938514607994
64,0.35307096558613393,300,13,0.8662320524141953
86,0.3564596685134599,300,15,0.47877506112736756
83,0.3586662066672265,300,64,0.4248961201236958
92,0.35866620666722654,300,71,0.4299705386002056
27,0.35866620666722654,300,44,0.4354274785278456
98,0.35866620666722654,300,53,0.449768480293947
50,0.35866620666722654,300,47,0.44713284790041663
13,0.3593491449991534,300,18,0.41875336166951127
35,0.3622149497851044,300,12,0.8457048979347839
87,0.37158750138823415,300,57,0.37793510712106615
79,0.37158750138823415,300,43,0.4017604479812974
73,0.37158750138823415,300,66,0.37746106212170005
15,0.37158750138823415,300,59,0.36727085800846093
80,0.3913893675528172,300,22,0.3003722569166517
9,0.39185748133713955,300,30,0.3028020346395629
69,0.3924408182984178,300,32,0.33974399425865587
96,0.3926725957951496,300,43,0.30158580150690073
29,0.3926725957951496,300,95,0.3272969872970065
94,0.3926725957951496,300,38,0.3386553947519404
36,0.42142455335123,300,29,0.2617260337426601
97,0.42201824768366547,300,94,0.26037722904760197
49,0.42201824768366547,300,62,0.2805807525885194
72,0.42201824768366547,300,41,0.27956118818978926
41,0.42201824768366547,300,82,0.28779197296154546
71,0.42295321239444944,300,23,0.25391777060489534
78,0.4247991953262819,300,13,0.2974105833481836
63,0.4268979106356239,300,18,0.288870250164609
91,0.42963727616970554,300,11,0.40188414046764653
33,0.4580818285076334,300,11,0.30008596954806777
65,0.4999904490817122,300,7,0.7470759062604228
47,0.5006221955477203,300,14,0.1951730732958343
53,0.5060925136669145,300,7,0.855095224643565
89,0.5198641996057343,300,7,0.5214686138905475
30,0.5284245262539679,300,69,0.12582151276190665
67,0.5284245262539679,300,97,0.1511940776225022
84,0.5284245262539679,300,41,0.1349971761939528
2,0.5284353742929973,300,36,0.1674045675060442
14,0.5284456149408047,300,37,0.15650576915992884
52,0.528454858560092,300,38,0.1574038893675077
60,0.531712187600553,300,20,0.15098601699591027
58,0.5422394207864254,300,6,0.6754484828380181
42,0.550109808633629,300,6,0.9638733930539324
93,0.5821303378049227,300,63,0.10006396928335709
10,0.7427792321650937,300,5,0.29337320483058044
95,0.7881450373228164,300,3,0.455935363922398
