epoch,score,n_estimators,max_depth,max_features
76,0.5548089759707858,300,13,0.7402907761322934
82,0.554871972645653,300,15,0.6940410496553171
16,0.554959638935791,300,19,0.5754346557890008
52,0.5550856361747579,300,12,0.7083311133938245
6,0.5552358742455717,300,28,0.6018094647090577
12,0.55545680771011,300,19,0.6038964641998514
75,0.555698536361772,300,38,0.6207905163881242
0,0.5557058117958968,300,70,0.6406575863169659
53,0.5557058117958968,300,72,0.6178998221200254
55,0.5557058117958968,300,71,0.6141966937305859
62,0.5557058117958968,300,68,0.5963466300326747
63,0.5557058117958968,300,77,0.6395937095233124
65,0.5557058117958968,300,67,0.6469329743448554
27,0.5557058117958968,300,60,0.6320661075013114
88,0.5557058117958968,300,44,0.6236710959868159
2,0.5557058117958968,300,70,0.6424622286023272
92,0.5557058117958968,300,65,0.6303897958998883
36,0.5557058117958968,300,77,0.626061431660851
58,0.5557474247908846,300,19,0.6811953375066713
70,0.5560585592402844,300,18,0.7459102292441139
20,0.5561974434582417,300,16,0.4409279333098294
8,0.5562332074826535,300,25,0.4864642335302225
72,0.5562508417682025,300,27,0.6975758776176244
66,0.5562508417682025,300,27,0.6828912880804572
99,0.5562703585261567,300,19,0.5249839535139869
11,0.556368179160613,300,36,0.5864319565689735
15,0.5563821718403692,300,42,0.5420212811619971
95,0.5563821718403692,300,76,0.5670993462413267
68,0.5563821718403692,300,54,0.568129142450124
86,0.5563821718403692,300,40,0.5859681879415288
13,0.5563821718403693,300,46,0.5535254569883437
9,0.5563821718403693,300,77,0.5454692311152063
74,0.5563821718403693,300,74,0.5852908335016112
77,0.5563821718403693,300,59,0.5854513447057085
51,0.5563821718403693,300,73,0.5694235562550369
29,0.5563821718403693,300,79,0.5542706388435168
87,0.5564122453018515,300,25,0.660008484542169
4,0.5564357964929102,300,23,0.7518883996758647
61,0.5564357964929102,300,23,0.7195387296077767
56,0.5564412583926137,300,24,0.662592582645456
34,0.5565083887990954,300,32,0.4419116623209664
78,0.5565587745852254,300,27,0.47770388371598443
37,0.5565779481549445,300,26,0.4165601453054165
48,0.5565986985914333,300,36,0.6556865535026148
35,0.5565998121426281,300,61,0.4389269343089026
91,0.5565998121426281,300,79,0.4309703732647619
30,0.5565998121426281,300,78,0.45940961849417433
96,0.5565998121426281,300,67,0.41729779947767587
26,0.5566131298399607,300,33,0.664369105261168
67,0.5566167886018272,300,26,0.5098274839063666
25,0.5566334984916915,300,38,0.6553144333403259
21,0.55663598611094,300,34,0.6656126506712132
7,0.5566528276718963,300,20,0.4662603219616971
28,0.55665424095438,300,56,0.7057190152251533
32,0.55665424095438,300,71,0.673343789712511
85,0.55665424095438,300,47,0.6863170346186405
22,0.55665424095438,300,70,0.6924596337296371
57,0.55665424095438,300,51,0.6804070594110959
24,0.55665424095438,300,57,0.6853343107490162
59,0.55665424095438,300,73,0.6497687862315609
60,0.55665424095438,300,68,0.6515263147306758
46,0.55665424095438,300,78,0.6704881589052455
98,0.5567193382579216,300,27,0.42980614607531226
10,0.5567371052910353,300,17,0.7366428750830312
17,0.5568165293525087,300,19,0.7567571393472278
39,0.5571863462875571,300,46,0.5211140467532343
83,0.5571863462875571,300,43,0.4746164211004331
73,0.5571863462875571,300,73,0.5234043819140362
47,0.5571863462875571,300,43,0.5176126346302883
94,0.5571863462875571,300,64,0.5054236013296494
44,0.5571863462875571,300,53,0.49746786129576126
90,0.5572104005807151,300,36,0.5121894796132314
40,0.5572216102290993,300,28,0.7348700054085988
50,0.5572413206708962,300,38,0.7281203928958861
3,0.5572444069237799,300,74,0.7227538600090869
89,0.5572444069237799,300,43,0.7645665859615194
18,0.5572444069237799,300,67,0.7334168294365961
1,0.5572444069237799,300,75,0.7363158830519579
54,0.5572444069237799,300,62,0.7121636365155622
33,0.5572444069237799,300,42,0.7087320779263009
49,0.5572444069237799,300,46,0.7564576007651325
93,0.5572444069237799,300,77,0.7338333265641206
71,0.5572444069237799,300,49,0.7093331963902967
42,0.5572444069237799,300,49,0.7242803842236871
43,0.5572444069237799,300,54,0.7536157533401144
23,0.5572444069237799,300,67,0.7378653156497358
69,0.5572952548782977,300,29,0.7571364645292668
84,0.5575138060370579,300,22,0.7575592060348137
64,0.5575138060370579,300,22,0.7527670042314116
97,0.5576877400054222,300,27,0.7678937957784184
31,0.5578234356808399,300,33,0.7923518864924542
41,0.5579312022688921,300,30,0.790113333090451
45,0.5579770680287603,300,55,0.7901127579359545
38,0.5579770680287603,300,57,0.7980940384051435
79,0.5579880739231157,300,35,0.7704391068409294
81,0.559401095700719,300,47,0.4040927571031072
19,0.559401095700719,300,77,0.40154403413493855
5,0.559507379585991,300,11,0.5774927518012812
14,0.5595401827984487,300,23,0.4048294261071669
80,0.5636534739937552,300,10,0.6076547569170813
